combo_id,trigger_target,ligand,receptor,niche_id,niche_name,combo_niche_effect,target_priority_score
POSTN|POSTN->ITGAV,POSTN,POSTN,ITGAV,5,H3_N05_NKRich,-0.5716446903782973,1.04800157487428
POSTN|POSTN->ITGB5,POSTN,POSTN,ITGB5,5,H3_N05_NKRich,-0.5716446903782973,0.8456202990960336
POSTN|POSTN->ITGB5,POSTN,POSTN,ITGB5,11,H2_N11_MonocyteRich,-0.7517333985708202,0.8456202990960336
POSTN|POSTN->ITGAV,POSTN,POSTN,ITGAV,11,H2_N11_MonocyteRich,-0.7517333985708202,1.04800157487428
POSTN|POSTN->ITGAV,POSTN,POSTN,ITGAV,9,H1_N09_NKRich,-0.8225496768316287,1.04800157487428
POSTN|POSTN->ITGB5,POSTN,POSTN,ITGB5,9,H1_N09_NKRich,-0.8225496768316287,0.8456202990960336
POSTN|POSTN->ITGB5,POSTN,POSTN,ITGB5,12,H2_N12_NKRich,-0.8679737366586077,0.8456202990960336
POSTN|POSTN->ITGAV,POSTN,POSTN,ITGAV,12,H2_N12_NKRich,-0.8679737366586077,1.04800157487428
POSTN|POSTN->ITGAV,POSTN,POSTN,ITGAV,2,H3_N02_MASTRich,-0.9952916982739332,1.04800157487428
POSTN|POSTN->ITGB5,POSTN,POSTN,ITGB5,2,H3_N02_MASTRich,-0.9952916982739332,0.8456202990960336
POSTN|POSTN->ITGAV,POSTN,POSTN,ITGAV,7,H3_N07_MonocyteRich,-1.0861801738294017,1.04800157487428
POSTN|POSTN->ITGB5,POSTN,POSTN,ITGB5,7,H3_N07_MonocyteRich,-1.0861801738294017,0.8456202990960336
POSTN|POSTN->ITGB5,POSTN,POSTN,ITGB5,17,H3_N17_NKRich,-1.0950101109095545,0.8456202990960336
POSTN|POSTN->ITGAV,POSTN,POSTN,ITGAV,17,H3_N17_NKRich,-1.0950101109095545,1.04800157487428
POSTN|POSTN->ITGB5,POSTN,POSTN,ITGB5,10,H3_N10_MASTRich,-1.134295953770551,0.8456202990960336
POSTN|POSTN->ITGAV,POSTN,POSTN,ITGAV,10,H3_N10_MASTRich,-1.134295953770551,1.04800157487428
